00001 A00     0 Cholera                                                      Cholera
04513 J069    1 Acute upper respiratory infection, unspecified               Acute upper respiratory infection, unspecified
04514 J09     1 Influenza due to certain identified influenza viru           Influenza due to certain identified influenza virus
04515 J10     0 Influenza due to identified influenza virus                  Influenza due to identified influenza virus
04516 J100    1 Influenza with pneumonia, influenza virus identifi           Influenza with pneumonia, influenza virus identified
04517 J101    1 Influenza with other respiratory manifestations, i           Influenza with other respiratory manifestations, influenza virus identified
04518 J108    1 Influenza with other manifestations, influenza vir           Influenza with other manifestations, influenza virus identified
04519 J11     0 Influenza, virus not identified                              Influenza, virus not identified
04520 J110    1 Influenza with pneumonia, virus not identified               Influenza with pneumonia, virus not identified
04521 J111    1 Influenza with other respiratory manifestations, v           Influenza with other respiratory manifestations, virus not identified
04522 J118    1 Influenza with other manifestations, virus not ide           Influenza with other manifestations, virus not identified
04523 J12     0 Viral pneumonia, not elsewhere classified                    Viral pneumonia, not elsewhere classified
04524 J120    1 Adenoviral pneumonia                                         Adenoviral pneumonia
04525 J121    1 Respiratory syncytial virus pneumonia                        Respiratory syncytial virus pneumonia
04526 J122    1 Parainfluenza virus pneumonia                                Parainfluenza virus pneumonia
04527 J123    1 Human metapneumovirus pneumonia                              Human metapneumovirus pneumonia
04528 J128    1 Other viral pneumonia                                        Other viral pneumonia
04529 J129    1 Viral pneumonia, unspecified                                 Viral pneumonia, unspecified
04530 J13     1 Pneumonia due to Streptococcus pneumoniae                    Pneumonia due to Streptococcus pneumoniae
04531 J14     1 Pneumonia due to Haemophilus influenzae                      Pneumonia due to Haemophilus influenzae
04532 J15     0 Bacterial pneumonia, not elsewhere classified                Bacterial pneumonia, not elsewhere classified
04533 J150    1 Pneumonia due to Klebsiella pneumoniae                       Pneumonia due to Klebsiella pneumoniae
04534 J151    1 Pneumonia due to Pseudomonas                                 Pneumonia due to Pseudomonas
04535 J152    1 Pneumonia due to staphylococcus                              Pneumonia due to staphylococcus
04536 J153    1 Pneumonia due to streptococcus, group B                      Pneumonia due to streptococcus, group B
04537 J154    1 Pneumonia due to other streptococci                          Pneumonia due to other streptococci
04538 J155    1 Pneumonia due to Escherichia coli                            Pneumonia due to Escherichia coli
04539 J156    1 Pneumonia due to other aerobic Gram-negative bacte           Pneumonia due to other aerobic Gram-negative bacteria
04540 J157    1 Pneumonia due to Mycoplasma pneumoniae                       Pneumonia due to Mycoplasma pneumoniae
04541 J158    1 Other bacterial pneumonia                                    Other bacterial pneumonia
04542 J159    1 Bacterial pneumonia, unspecified                             Bacterial pneumonia, unspecified
04543 J16     0 Pneumonia due to other infectious organisms, not e           Pneumonia due to other infectious organisms, not elsewhere classified
04544 J160    1 Chlamydial pneumonia                                         Chlamydial pneumonia
04545 J168    1 Pneumonia due to other specified infectious organi           Pneumonia due to other specified infectious organisms
04546 J17     0 Pneumonia in diseases classified elsewhere                   Pneumonia in diseases classified elsewhere
04547 J170    1 Pneumonia in bacterial diseases classified elsewhe           Pneumonia in bacterial diseases classified elsewhere
04548 J171    1 Pneumonia in viral diseases classified elsewhere             Pneumonia in viral diseases classified elsewhere
04549 J172    1 Pneumonia in mycoses                                         Pneumonia in mycoses
04550 J173    1 Pneumonia in parasitic diseases                              Pneumonia in parasitic diseases
04551 J178    1 Pneumonia in other diseases classified elsewhere             Pneumonia in other diseases classified elsewhere
04552 J18     0 Pneumonia, organism unspecified                              Pneumonia, organism unspecified
04553 J180    1 Bronchopneumonia, unspecified                                Bronchopneumonia, unspecified
04554 J181    1 Lobar pneumonia, unspecified                                 Lobar pneumonia, unspecified
04555 J182    1 Hypostatic pneumonia, unspecified                            Hypostatic pneumonia, unspecified
04556 J188    1 Other pneumonia, organism unspecified                        Other pneumonia, organism unspecified
04557 J189    1 Pneumonia, unspecified                                       Pneumonia, unspecified
04558 J20     0 Acute bronchitis                                             Acute bronchitis
04559 J200    1 Acute bronchitis due to Mycoplasma pneumoniae                Acute bronchitis due to Mycoplasma pneumoniae
04560 J201    1 Acute bronchitis due to Haemophilus influenzae               Acute bronchitis due to Haemophilus influenzae
04561 J202    1 Acute bronchitis due to streptococcus                        Acute bronchitis due to streptococcus
04562 J203    1 Acute bronchitis due to coxsackie virus                      Acute bronchitis due to coxsackie virus
04563 J204    1 Acute bronchitis due to parainfluenza virus                  Acute bronchitis due to parainfluenza virus
04564 J205    1 Acute bronchitis due to respiratory syncytial viru           Acute bronchitis due to respiratory syncytial virus
04565 J206    1 Acute bronchitis due to rhinovirus                           Acute bronchitis due to rhinovirus
04566 J207    1 Acute bronchitis due to echovirus                            Acute bronchitis due to echovirus
04567 J208    1 Acute bronchitis due to other specified organisms            Acute bronchitis due to other specified organisms
04568 J209    1 Acute bronchitis, unspecified                                Acute bronchitis, unspecified
04569 J21     0 Acute bronchiolitis                                          Acute bronchiolitis
04570 J210    1 Acute bronchiolitis due to respiratory syncytial v           Acute bronchiolitis due to respiratory syncytial virus
04571 J211    1 Acute bronchiolitis due to human metapneumovirus             Acute bronchiolitis due to human metapneumovirus
04572 J218    1 Acute bronchiolitis due to other specified organis           Acute bronchiolitis due to other specified organisms
04573 J219    1 Acute bronchiolitis, unspecified                             Acute bronchiolitis, unspecified
04574 J22     1 Unspecified acute lower respiratory infection                Unspecified acute lower respiratory infection
04575 J30     0 Vasomotor and allergic rhinitis                              Vasomotor and allergic rhinitis
04576 J300    1 Vasomotor rhinitis                                           Vasomotor rhinitis
04577 J301    1 Allergic rhinitis due to pollen                              Allergic rhinitis due to pollen
04578 J302    1 Other seasonal allergic rhinitis                             Other seasonal allergic rhinitis
04579 J303    1 Other allergic rhinitis                                      Other allergic rhinitis
04580 J304    1 Allergic rhinitis, unspecified                               Allergic rhinitis, unspecified
04581 J31     0 Chronic rhinitis, nasopharyngitis and pharyngitis            Chronic rhinitis, nasopharyngitis and pharyngitis
04582 J310    1 Chronic rhinitis                                             Chronic rhinitis
04583 J311    1 Chronic nasopharyngitis                                      Chronic nasopharyngitis
04584 J312    1 Chronic pharyngitis                                          Chronic pharyngitis
04585 J32     0 Chronic sinusitis                                            Chronic sinusitis
04586 J320    1 Chronic maxillary sinusitis                                  Chronic maxillary sinusitis
04587 J321    1 Chronic frontal sinusitis                                    Chronic frontal sinusitis
04588 J322    1 Chronic ethmoidal sinusitis                                  Chronic ethmoidal sinusitis
04589 J323    1 Chronic sphenoidal sinusitis                                 Chronic sphenoidal sinusitis
04590 J324    1 Chronic pansinusitis                                         Chronic pansinusitis
04591 J328    1 Other chronic sinusitis                                      Other chronic sinusitis
04592 J329    1 Chronic sinusitis, unspecified                               Chronic sinusitis, unspecified
04593 J33     0 Nasal polyp                                                  Nasal polyp
04594 J330    1 Polyp of nasal cavity                                        Polyp of nasal cavity
04595 J331    1 Polypoid sinus degeneration                                  Polypoid sinus degeneration
04596 J338    1 Other polyp of sinus                                         Other polyp of sinus
04597 J339    1 Nasal polyp, unspecified                                     Nasal polyp, unspecified
04598 J34     0 Other disorders of nose and nasal sinuses                    Other disorders of nose and nasal sinuses
04599 J340    1 Abscess, furuncle and carbuncle of nose                      Abscess, furuncle and carbuncle of nose
04600 J341    1 Cyst and mucocele of nose and nasal sinus                    Cyst and mucocele of nose and nasal sinus
04601 J342    1 Deviated nasal septum                                        Deviated nasal septum
04602 J343    1 Hypertrophy of nasal turbinates                              Hypertrophy of nasal turbinates
04603 J348    1 Other specified disorders of nose and nasal sinuse           Other specified disorders of nose and nasal sinuses
04604 J35     0 Chronic diseases of tonsils and adenoids                     Chronic diseases of tonsils and adenoids
04605 J350    1 Chronic tonsillitis                                          Chronic tonsillitis
04606 J351    1 Hypertrophy of tonsils                                       Hypertrophy of tonsils
04607 J352    1 Hypertrophy of adenoids                                      Hypertrophy of adenoids
04608 J353    1 Hypertrophy of tonsils with hypertrophy of adenoid           Hypertrophy of tonsils with hypertrophy of adenoids
04609 J358    1 Other chronic diseases of tonsils and adenoids               Other chronic diseases of tonsils and adenoids
04610 J359    1 Chronic disease of tonsils and adenoids, unspecifi           Chronic disease of tonsils and adenoids, unspecified
04611 J36     1 Peritonsillar abscess                                        Peritonsillar abscess
04612 J37     0 Chronic laryngitis and laryngotracheitis                     Chronic laryngitis and laryngotracheitis
04613 J370    1 Chronic laryngitis                                           Chronic laryngitis
04614 J371    1 Chronic laryngotracheitis                                    Chronic laryngotracheitis
04615 J38     0 Diseases of vocal cords and larynx, not elsewhere            Diseases of vocal cords and larynx, not elsewhere classified
04616 J380    1 Paralysis of vocal cords and larynx                          Paralysis of vocal cords and larynx
04617 J381    1 Polyp of vocal cord and larynx                               Polyp of vocal cord and larynx
04618 J382    1 Nodules of vocal cords                                       Nodules of vocal cords
04619 J383    1 Other diseases of vocal cords                                Other diseases of vocal cords
04620 J384    1 Oedema of larynx                                             Oedema of larynx
04621 J385    1 Laryngeal spasm                                              Laryngeal spasm
04622 J386    1 Stenosis of larynx                                           Stenosis of larynx
04623 J387    1 Other diseases of larynx                                     Other diseases of larynx
04624 J39     0 Other diseases of upper respiratory tract                    Other diseases of upper respiratory tract
04625 J390    1 Retropharyngeal and parapharyngeal abscess                   Retropharyngeal and parapharyngeal abscess
04626 J391    1 Other abscess of pharynx                                     Other abscess of pharynx
04627 J392    1 Other diseases of pharynx                                    Other diseases of pharynx
04628 J393    1 Upper respiratory tract hypersensitivity reaction,           Upper respiratory tract hypersensitivity reaction, site unspecified
04629 J398    1 Other specified diseases of upper respiratory trac           Other specified diseases of upper respiratory tract
04630 J399    1 Disease of upper respiratory tract, unspecified              Disease of upper respiratory tract, unspecified
04631 J40     1 Bronchitis, not specified as acute or chronic                Bronchitis, not specified as acute or chronic
04632 J41     0 Simple and mucopurulent chronic bronchitis                   Simple and mucopurulent chronic bronchitis
04633 J410    1 Simple chronic bronchitis                                    Simple chronic bronchitis
04634 J411    1 Mucopurulent chronic bronchitis                              Mucopurulent chronic bronchitis
04635 J418    1 Mixed simple and mucopurulent chronic bronchitis             Mixed simple and mucopurulent chronic bronchitis
04636 J42     1 Unspecified chronic bronchitis                               Unspecified chronic bronchitis
04637 J43     0 Emphysema                                                    Emphysema
04638 J430    1 MacLeod's syndrome                                           MacLeod's syndrome
04639 J431    1 Panlobular emphysema                                         Panlobular emphysema
04640 J432    1 Centrilobular emphysema                                      Centrilobular emphysema
04641 J438    1 Other emphysema                                              Other emphysema
04642 J439    1 Emphysema, unspecified                                       Emphysema, unspecified
04643 J44     0 Other chronic obstructive pulmonary disease                  Other chronic obstructive pulmonary disease
04644 J440    1 Chronic obstructive pulmonary disease with acute l           Chronic obstructive pulmonary disease with acute lower respiratory infection
04645 J441    1 Chronic obstructive pulmonary disease with acute e           Chronic obstructive pulmonary disease with acute exacerbation, unspecified
04646 J448    1 Other specified chronic obstructive pulmonary dise           Other specified chronic obstructive pulmonary disease
04647 J449    1 Chronic obstructive pulmonary disease, unspecified           Chronic obstructive pulmonary disease, unspecified
04648 J45     0 Asthma                                                       Asthma
04649 J450    1 Predominantly allergic asthma                                Predominantly allergic asthma
04650 J451    1 Nonallergic asthma                                           Nonallergic asthma
04651 J458    1 Mixed asthma                                                 Mixed asthma
04652 J459    1 Asthma, unspecified                                          Asthma, unspecified
04653 J46     1 Status asthmaticus                                           Status asthmaticus
04654 J47     1 Bronchiectasis                                               Bronchiectasis
04655 J60     1 Coalworker's pneumoconiosis                                  Coalworker's pneumoconiosis
04656 J61     1 Pneumoconiosis due to asbestos and other mineral f           Pneumoconiosis due to asbestos and other mineral fibres
04657 J62     0 Pneumoconiosis due to dust containing silica                 Pneumoconiosis due to dust containing silica
04658 J620    1 Pneumoconiosis due to talc dust                              Pneumoconiosis due to talc dust
04659 J628    1 Pneumoconiosis due to other dust containing silica           Pneumoconiosis due to other dust containing silica
04660 J63     0 Pneumoconiosis due to other inorganic dusts                  Pneumoconiosis due to other inorganic dusts
04661 J630    1 Aluminosis (of lung)                                         Aluminosis (of lung)
04662 J631    1 Bauxite fibrosis (of lung)                                   Bauxite fibrosis (of lung)
04663 J632    1 Berylliosis                                                  Berylliosis
04664 J633    1 Graphite fibrosis (of lung)                                  Graphite fibrosis (of lung)
04665 J634    1 Siderosis                                                    Siderosis
04666 J635    1 Stannosis                                                    Stannosis
04667 J638    1 Pneumoconiosis due to other specified inorganic du           Pneumoconiosis due to other specified inorganic dusts
04668 J64     1 Unspecified pneumoconiosis                                   Unspecified pneumoconiosis
04669 J65     1 Pneumoconiosis associated with tuberculosis                  Pneumoconiosis associated with tuberculosis
04670 J66     0 Airway disease due to specific organic dust                  Airway disease due to specific organic dust
04671 J660    1 Byssinosis                                                   Byssinosis
04672 J661    1 Flax-dresser's disease                                       Flax-dresser's disease
04673 J662    1 Cannabinosis                                                 Cannabinosis
04674 J668    1 Airway disease due to other specific organic dusts           Airway disease due to other specific organic dusts
04675 J67     0 Hypersensitivity pneumonitis due to organic dust             Hypersensitivity pneumonitis due to organic dust
04676 J670    1 Farmer's lung                                                Farmer's lung
04677 J671    1 Bagassosis                                                   Bagassosis
04678 J672    1 Bird fancier's lung                                          Bird fancier's lung
04679 J673    1 Suberosis                                                    Suberosis
04680 J674    1 Maltworker's lung                                            Maltworker's lung
04681 J675    1 Mushroom-worker's lung                                       Mushroom-worker's lung
04682 J676    1 Maple-bark-stripper's lung                                   Maple-bark-stripper's lung
04683 J677    1 Air-conditioner and humidifier lung                          Air-conditioner and humidifier lung
04684 J678    1 Hypersensitivity pneumonitis due to other organic            Hypersensitivity pneumonitis due to other organic dusts
04685 J679    1 Hypersensitivity pneumonitis due to unspecified or           Hypersensitivity pneumonitis due to unspecified organic dust
04686 J68     0 Respiratory conditions due to inhalation of chemic           Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours
04687 J680    1 Bronchitis and pneumonitis due to chemicals, gases           Bronchitis and pneumonitis due to chemicals, gases, fumes and vapours
04688 J681    1 Acute pulmonary oedema due to chemicals, gases, fu           Acute pulmonary oedema due to chemicals, gases, fumes and vapours
04689 J682    1 Upper respiratory inflammation due to chemicals, g           Upper respiratory inflammation due to chemicals, gases, fumes and vapours, not elsewhere classified
04690 J683    1 Other acute and subacute respiratory conditions du           Other acute and subacute respiratory conditions due to chemicals, gases, fumes and vapours
04691 J684    1 Chronic respiratory conditions due to chemicals, g           Chronic respiratory conditions due to chemicals, gases, fumes and vapours
04692 J688    1 Other respiratory conditions due to chemicals, gas           Other respiratory conditions due to chemicals, gases, fumes and vapours
04693 J689    1 Unspecified respiratory condition due to chemicals           Unspecified respiratory condition due to chemicals, gases, fumes and vapours
04694 J69     0 Pneumonitis due to solids and liquids                        Pneumonitis due to solids and liquids
04695 J690    1 Pneumonitis due to food and vomit                            Pneumonitis due to food and vomit
04696 J691    1 Pneumonitis due to oils and essences                         Pneumonitis due to oils and essences
04697 J698    1 Pneumonitis due to other solids and liquids                  Pneumonitis due to other solids and liquids
04698 J70     0 Respiratory conditions due to other external agent           Respiratory conditions due to other external agents
04699 J700    1 Acute pulmonary manifestations due to radiation              Acute pulmonary manifestations due to radiation
04700 J701    1 Chronic and other pulmonary manifestations due to            Chronic and other pulmonary manifestations due to radiation
04701 J702    1 Acute drug-induced interstitial lung disorders               Acute drug-induced interstitial lung disorders
04702 J703    1 Chronic drug-induced interstitial lung disorders             Chronic drug-induced interstitial lung disorders
04703 J704    1 Drug-induced interstitial lung disorder, unspecifi           Drug-induced interstitial lung disorder, unspecified
04704 J708    1 Respiratory conditions due to other specified exte           Respiratory conditions due to other specified external agents
04705 J709    1 Respiratory conditions due to unspecified external           Respiratory conditions due to unspecified external agent
04706 J80     1 Adult respiratory distress syndrome                          Adult respiratory distress syndrome
04707 J81     1 Pulmonary oedema                                             Pulmonary oedema
04708 J82     1 Pulmonary eosinophilia, not elsewhere classified             Pulmonary eosinophilia, not elsewhere classified
04709 J84     0 Other interstitial pulmonary diseases                        Other interstitial pulmonary diseases
04710 J840    1 Alveolar and parietoalveolar conditions                      Alveolar and parietoalveolar conditions
04711 J841    1 Other interstitial pulmonary diseases with fibrosi           Other interstitial pulmonary diseases with fibrosis
04712 J848    1 Other specified interstitial pulmonary diseases              Other specified interstitial pulmonary diseases
04713 J849    1 Interstitial pulmonary disease, unspecified                  Interstitial pulmonary disease, unspecified
04714 J85     0 Abscess of lung and mediastinum                              Abscess of lung and mediastinum
04715 J850    1 Gangrene and necrosis of lung                                Gangrene and necrosis of lung
04716 J851    1 Abscess of lung with pneumonia                               Abscess of lung with pneumonia
04717 J852    1 Abscess of lung without pneumonia                            Abscess of lung without pneumonia
04718 J853    1 Abscess of mediastinum                                       Abscess of mediastinum
04719 J86     0 Pyothorax                                                    Pyothorax
04720 J860    1 Pyothorax with fistula                                       Pyothorax with fistula
04721 J869    1 Pyothorax without fistula                                    Pyothorax without fistula
04722 J90     1 Pleural effusion, not elsewhere classified                   Pleural effusion, not elsewhere classified
04723 J91     1 Pleural effusion in conditions classified elsewher           Pleural effusion in conditions classified elsewhere
04724 J92     0 Pleural plaque                                               Pleural plaque
04725 J920    1 Pleural plaque with presence of asbestos                     Pleural plaque with presence of asbestos
04726 J929    1 Pleural plaque without asbestos                              Pleural plaque without asbestos
04727 J93     0 Pneumothorax                                                 Pneumothorax
04728 J930    1 Spontaneous tension pneumothorax                             Spontaneous tension pneumothorax
04729 J931    1 Other spontaneous pneumothorax                               Other spontaneous pneumothorax
04730 J938    1 Other pneumothorax                                           Other pneumothorax
04731 J939    1 Pneumothorax, unspecified                                    Pneumothorax, unspecified
04732 J94     0 Other pleural conditions                                     Other pleural conditions
04733 J940    1 Chylous effusion                                             Chylous effusion
04734 J941    1 Fibrothorax                                                  Fibrothorax
04735 J942    1 Haemothorax                                                  Haemothorax
04736 J948    1 Other specified pleural conditions                           Other specified pleural conditions
04737 J949    1 Pleural condition, unspecified                               Pleural condition, unspecified
04738 J95     0 Postprocedural respiratory disorders, not elsewher           Postprocedural respiratory disorders, not elsewhere classified
04739 J950    1 Tracheostomy malfunction                                     Tracheostomy malfunction
04740 J951    1 Acute pulmonary insufficiency following thoracic s           Acute pulmonary insufficiency following thoracic surgery
04741 J952    1 Acute pulmonary insufficiency following nonthoraci           Acute pulmonary insufficiency following nonthoracic surgery
04742 J953    1 Chronic pulmonary insufficiency following surgery            Chronic pulmonary insufficiency following surgery
04743 J954    1 Mendelson's syndrome                                         Mendelson's syndrome
04744 J955    1 Postprocedural subglottic stenosis                           Postprocedural subglottic stenosis
04745 J958    1 Other postprocedural respiratory disorders                   Other postprocedural respiratory disorders
04746 J959    1 Postprocedural respiratory disorder, unspecified             Postprocedural respiratory disorder, unspecified
04747 J96     0 Respiratory failure, not elsewhere classified                Respiratory failure, not elsewhere classified
04748 J960    0 Acute respiratory failure                                    Acute respiratory failure
04749 J9600   1 Acute respiratory failure; Type I [hypoxic]                  Acute respiratory failure; Type I [hypoxic]
04750 J9601   1 Acute respiratory failure; Type II [hypercapnic]             Acute respiratory failure; Type II [hypercapnic]
04751 J9609   1 Acute respiratory failure; Type unspecified                  Acute respiratory failure; Type unspecified
04752 J961    0 Chronic respiratory failure                                  Chronic respiratory failure
04753 J9610   1 Chronic respiratory failure; Type I [hypoxic]                Chronic respiratory failure; Type I [hypoxic]
04754 J9611   1 Chronic respiratory failure; Type II [hypercapnic]           Chronic respiratory failure; Type II [hypercapnic]
04755 J9619   1 Chronic respiratory failure; Type unspecified                Chronic respiratory failure; Type unspecified
04756 J969    0 Respiratory failure, unspecified                             Respiratory failure, unspecified
04757 J9690   1 Respiratory failure, unspecified; Type I [hypoxic]           Respiratory failure, unspecified; Type I [hypoxic]
04758 J9691   1 Respiratory failure unspecified; Type II [hypercap           Respiratory failure unspecified; Type II [hypercapnic]
04759 J9699   1 Respiratory failure, unspecified; Type unspecified           Respiratory failure, unspecified; Type unspecified
04760 J98     0 Other respiratory disorders                                  Other respiratory disorders
04761 J980    1 Diseases of bronchus, not elsewhere classified               Diseases of bronchus, not elsewhere classified
04762 J981    1 Pulmonary collapse                                           Pulmonary collapse
04763 J982    1 Interstitial emphysema                                       Interstitial emphysema
04764 J983    1 Compensatory emphysema                                       Compensatory emphysema
04765 J984    1 Other disorders of lung                                      Other disorders of lung
04766 J985    1 Diseases of mediastinum, not elsewhere classified            Diseases of mediastinum, not elsewhere classified
04767 J986    1 Disorders of diaphragm                                       Disorders of diaphragm
04768 J988    1 Other specified respiratory disorders                        Other specified respiratory disorders
04769 J989    1 Respiratory disorder, unspecified                            Respiratory disorder, unspecified
04770 J99     0 Respiratory disorders in diseases classified elsew           Respiratory disorders in diseases classified elsewhere
04771 J990    1 Rheumatoid lung disease                                      Rheumatoid lung disease
04772 J991    1 Respiratory disorders in other diffuse connective            Respiratory disorders in other diffuse connective tissue disorders
04773 J998    1 Respiratory disorders in other diseases classified           Respiratory disorders in other diseases classified elsewhere
04774 K00     0 Disorders of tooth development and eruption                  Disorders of tooth development and eruption
04775 K000    1 Anodontia                                                    Anodontia
04776 K001    1 Supernumerary teeth                                          Supernumerary teeth
04777 K002    1 Abnormalities of size and form of teeth                      Abnormalities of size and form of teeth
04778 K003    1 Mottled teeth                                                Mottled teeth
04779 K004    1 Disturbances in tooth formation                              Disturbances in tooth formation
04780 K005    1 Hereditary disturbances in tooth structure, not el           Hereditary disturbances in tooth structure, not elsewhere classified
04781 K006    1 Disturbances in tooth eruption                               Disturbances in tooth eruption
04782 K007    1 Teething syndrome                                            Teething syndrome
04783 K008    1 Other disorders of tooth development                         Other disorders of tooth development
04784 K009    1 Disorder of tooth development, unspecified                   Disorder of tooth development, unspecified
04785 K01     0 Embedded and impacted teeth                                  Embedded and impacted teeth
04786 K010    1 Embedded teeth                                               Embedded teeth
04787 K011    1 Impacted teeth                                               Impacted teeth
04788 K02     0 Dental caries                                                Dental caries
04789 K020    1 Caries limited to enamel                                     Caries limited to enamel
04790 K021    1 Caries of dentin                                             Caries of dentin
04791 K022    1 Caries of cementum                                           Caries of cementum
04792 K023    1 Arrested dental caries                                       Arrested dental caries
04793 K024    1 Odontoclasia                                                 Odontoclasia
04794 K025    1 Caries with pulp exposure                                    Caries with pulp exposure
04795 K028    1 Other dental caries                                          Other dental caries
04796 K029    1 Dental caries, unspecified                                   Dental caries, unspecified
04797 K03     0 Other diseases of hard tissues of teeth                      Other diseases of hard tissues of teeth
04798 K030    1 Excessive attrition of teeth                                 Excessive attrition of teeth
04799 K031    1 Abrasion of teeth                                            Abrasion of teeth
04800 K032    1 Erosion of teeth                                             Erosion of teeth
04801 K033    1 Pathological resorption of teeth                             Pathological resorption of teeth
04802 K034    1 Hypercementosis                                              Hypercementosis
04803 K035    1 Ankylosis of teeth                                           Ankylosis of teeth
04804 K036    1 Deposits [accretions] on teeth                               Deposits [accretions] on teeth
04805 K037    1 Posteruptive colour changes of dental hard tissues           Posteruptive colour changes of dental hard tissues
04806 K038    1 Other specified diseases of hard tissues of teeth            Other specified diseases of hard tissues of teeth
04807 K039    1 Disease of hard tissues of teeth, unspecified                Disease of hard tissues of teeth, unspecified
04808 K04     0 Diseases of pulp and periapical tissues                      Diseases of pulp and periapical tissues
04809 K040    1 Pulpitis                                                     Pulpitis
04810 K041    1 Necrosis of pulp                                             Necrosis of pulp
04811 K042    1 Pulp degeneration                                            Pulp degeneration
04812 K043    1 Abnormal hard tissue formation in pulp                       Abnormal hard tissue formation in pulp
04813 K044    1 Acute apical periodontitis of pulpal origin                  Acute apical periodontitis of pulpal origin
04814 K045    1 Chronic apical periodontitis                                 Chronic apical periodontitis
04815 K046    1 Periapical abscess with sinus                                Periapical abscess with sinus
04816 K047    1 Periapical abscess without sinus                             Periapical abscess without sinus
04817 K048    1 Radicular cyst                                               Radicular cyst
04818 K049    1 Other and unspecified diseases of pulp and periapi           Other and unspecified diseases of pulp and periapical tissues
04819 K05     0 Gingivitis and periodontal diseases                          Gingivitis and periodontal diseases
04820 K050    1 Acute gingivitis                                             Acute gingivitis
04821 K051    1 Chronic gingivitis                                           Chronic gingivitis
04822 K052    0 Acute periodontitis                                          Acute periodontitis
04823 K0522   1 Aggressive periodontitis, generalized                        Aggressive periodontitis, generalized
04824 K053    1 Chronic periodontitis                                        Chronic periodontitis
04825 K054    1 Periodontosis                                                Periodontosis
04826 K055    1 Other periodontal diseases                                   Other periodontal diseases
04827 K056    1 Periodontal disease, unspecified                             Periodontal disease, unspecified
04828 K06     0 Other disorders of gingiva and edentulous alveolar           Other disorders of gingiva and edentulous alveolar ridge
04829 K060    1 Gingival recession                                           Gingival recession
04830 K061    1 Gingival enlargement                                         Gingival enlargement
04831 K062    1 Gingival and edentulous alveolar ridge lesions ass           Gingival and edentulous alveolar ridge lesions associated with trauma
04832 K068    1 Other specified disorders of gingiva and edentulou           Other specified disorders of gingiva and edentulous alveolar ridge
04833 K069    1 Disorder of gingiva and edentulous alveolar ridge,           Disorder of gingiva and edentulous alveolar ridge, unspecified
04834 K07     0 Dentofacial anomalies [including malocclusion]               Dentofacial anomalies [including malocclusion]
04835 K070    1 Major anomalies of jaw size                                  Major anomalies of jaw size
04836 K071    1 Anomalies of jaw-cranial base relationship                   Anomalies of jaw-cranial base relationship
04837 K072    1 Anomalies of dental arch relationship                        Anomalies of dental arch relationship
04838 K073    1 Anomalies of tooth position                                  Anomalies of tooth position
04839 K074    1 Malocclusion, unspecified                                    Malocclusion, unspecified
04840 K075    1 Dentofacial functional abnormalities                         Dentofacial functional abnormalities
04841 K076    1 Temporomandibular joint disorders                            Temporomandibular joint disorders
04842 K078    1 Other dentofacial anomalies                                  Other dentofacial anomalies
04843 K079    1 Dentofacial anomaly, unspecified                             Dentofacial anomaly, unspecified
04844 K08     0 Other disorders of teeth and supporting structures           Other disorders of teeth and supporting structures
04845 K080    1 Exfoliation of teeth due to systemic causes                  Exfoliation of teeth due to systemic causes
04846 K081    1 Loss of teeth due to accident, extraction or local           Loss of teeth due to accident, extraction or local periodontal disease
04847 K082    1 Atrophy of edentulous alveolar ridge                         Atrophy of edentulous alveolar ridge
04848 K083    1 Retained dental root                                         Retained dental root
04849 K088    1 Other specified disorders of teeth and supporting            Other specified disorders of teeth and supporting structures
04850 K089    1 Disorder of teeth and supporting structures, unspe           Disorder of teeth and supporting structures, unspecified
04851 K09     0 Cysts of oral region, not elsewhere classified               Cysts of oral region, not elsewhere classified
04852 K090    1 Developmental odontogenic cysts                              Developmental odontogenic cysts
04853 K091    1 Developmental (nonodontogenic) cysts of oral regio           Developmental (nonodontogenic) cysts of oral region
04854 K092    1 Other cysts of jaw                                           Other cysts of jaw
04855 K098    1 Other cysts of oral region, not elsewhere classifi           Other cysts of oral region, not elsewhere classified
04856 K099    1 Cyst of oral region, unspecified                             Cyst of oral region, unspecified
04857 K10     0 Other diseases of jaws                                       Other diseases of jaws
04858 K100    1 Developmental disorders of jaws                              Developmental disorders of jaws
04859 K101    1 Giant cell granuloma, central                                Giant cell granuloma, central
04860 K102    1 Inflammatory conditions of jaws                              Inflammatory conditions of jaws
04861 K103    1 Alveolitis of jaws                                           Alveolitis of jaws
04862 K108    1 Other specified diseases of jaws                             Other specified diseases of jaws
04863 K109    1 Disease of jaws, unspecified                                 Disease of jaws, unspecified
04864 K11     0 Diseases of salivary glands                                  Diseases of salivary glands
04865 K110    1 Atrophy of salivary gland                                    Atrophy of salivary gland
04866 K111    1 Hypertrophy of salivary gland                                Hypertrophy of salivary gland
04867 K112    1 Sialoadenitis                                                Sialoadenitis
04868 K113    1 Abscess of salivary gland                                    Abscess of salivary gland
04869 K114    1 Fistula of salivary gland                                    Fistula of salivary gland
04870 K115    1 Sialolithiasis                                               Sialolithiasis
04871 K116    1 Mucocele of salivary gland                                   Mucocele of salivary gland
04872 K117    1 Disturbances of salivary secretion                           Disturbances of salivary secretion
04873 K118    1 Other diseases of salivary glands                            Other diseases of salivary glands
